name,online_order,book_table,rate,sentiment,votes,location,rest_type,cuisines_cleaned,approx_cost(for two people),listed_in(type),online_order_label,book_table_label
Amma - Manae,0,0,3.7,Good,0,1,92,South Indian,400.0,2,No,No
Sri Sai Tiffannies,0,0,3.7,Good,0,1,78,"South Indian, Chinese",150.0,2,No,No
Hotel Andhra Speices,0,0,3.7,Good,0,1,78,Andhra,250.0,2,No,No
Sri Murari Family Restaurant,0,0,4.5,Excellent,0,1,78,Biryani,250.0,2,No,No
Aramane Donne Biriyani,0,0,3.7,Good,0,1,78,"South Indian, Biryani",150.0,2,No,No
Darkolates,0,0,3.7,Good,0,1,38,Desserts,200.0,2,No,No
Swaada Healthy Kitchen,0,0,3.7,Good,0,1,80,"Healthy Food, Juices, Sandwich",350.0,2,No,No
Gawdaru Mane Beriyani,0,0,3.7,Good,0,1,78,"South Indian, Biryani",300.0,2,No,No
Melting Melodies,0,0,3.7,Good,0,1,92,"Pizza, Fast Food",100.0,2,No,No
New Indraprasta,0,0,3.7,Good,0,1,78,"South Indian, Beverages",150.0,2,No,No
Anna Kuteera,1,0,4.0,Excellent,771,1,27,"South Indian, North Indian, Chinese",450.0,2,Yes,No
Darbar,0,0,3.0,Good,98,1,8,"North Indian, Chinese",800.0,2,No,No
Vijayalakshmi,1,0,3.9,Good,47,4,78,South Indian,200.0,2,Yes,No
Sri Udupi Food Hub,1,1,4.1,Excellent,175,32,27,"South Indian, North Indian, Chinese, Beverages",500.0,2,Yes,Yes
Udupi Upahar,1,0,3.8,Good,58,1,78,"South Indian, Chinese, North Indian, Juices",300.0,2,Yes,No
House Of Kebabs,1,0,3.8,Good,540,4,27,"North Indian, Kebab, Biryani, Chinese",650.0,2,Yes,No
Roll N Rock,1,0,3.8,Good,124,49,78,"Chinese, North Indian, Mughlai, Rolls",400.0,2,Yes,No
BOX8- Desi Meals,1,0,4.1,Excellent,340,1,92,"North Indian, Mughlai, Fast Food",500.0,2,Yes,No
KFC,1,0,3.8,Good,505,1,78,"Burger, Fast Food",450.0,2,Yes,No
Bitez,0,0,1.0,Bad,0,1,78,Fast Food,100.0,2,No,No
Roll Over,1,0,4.1,Excellent,438,32,40,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,2,Yes,No
Imperial Restaurant,1,0,3.7,Good,264,57,27,"North Indian, Chinese, Biryani, Beverages",750.0,2,Yes,No
Lassi Shop,1,0,3.9,Good,169,49,14,"Beverages, Juices, Ice Cream",150.0,2,Yes,No
The Fortuna,1,0,3.0,Good,67,49,78,"North Indian, Chinese",250.0,2,Yes,No
Wahab,1,0,3.7,Good,97,32,78,"North Indian, Mughlai, Chinese",350.0,2,Yes,No
Al Diwan Biryanis And More,1,0,3.3,Good,12,4,92,Biryani,300.0,2,Yes,No
New Gowda's Fried Chicken,1,0,3.3,Good,12,1,78,Biryani,300.0,2,Yes,No
Canton,1,0,3.6,Good,195,32,27,"Chinese, Seafood, Biryani",800.0,2,Yes,No
Diabetics Dezire Sugarless Sweets and Bakes,1,0,3.3,Good,13,4,47,"Desserts, Mithai",300.0,2,Yes,No
The Blue Wagon - Kitchen,1,0,4.6,Excellent,228,32,19,"Cafe, Beverages",400.0,2,Yes,No
HOT COFFEE,1,0,4.1,Excellent,70,4,78,"South Indian, Chinese",150.0,2,Yes,No
Patio 805,1,1,4.1,Excellent,364,32,27,"Thai, Vietnamese, Asian, Chinese",1200.0,2,Yes,Yes
Lassi Corner,1,0,3.7,Good,107,4,14,"Beverages, Ice Cream",150.0,2,Yes,No
Sagar Deluxe,1,0,3.2,Good,167,49,78,"South Indian, North Indian, Chinese, Juices",300.0,2,Yes,No
Kanti Sweets,1,0,4.0,Excellent,115,1,88,"Mithai, Street Food",400.0,2,Yes,No
Vegetalia,1,0,3.7,Good,27,1,92,"Italian, Pizza",400.0,2,Yes,No
Aramane Donne Biryani,1,0,3.5,Good,57,1,78,Biryani,200.0,2,Yes,No
Ande Ka Funda,1,0,3.8,Good,120,1,78,"North Indian, Fast Food, Rolls",250.0,2,Yes,No
Cake Ghar,1,0,3.8,Good,15,4,0,Bakery,400.0,2,Yes,No
Energy Addaa,1,0,4.2,Excellent,64,4,78,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500.0,2,Yes,No
Bhattara Bhojana,1,0,3.6,Good,66,1,78,South Indian,150.0,2,Yes,No
Tandoori Knight,1,0,3.0,Good,290,1,78,"North Indian, Chinese, Biryani, Kebab",450.0,2,Yes,No
Dev Sagar - Food Street,1,0,4.1,Excellent,233,4,78,Street Food,200.0,2,Yes,No
Mitraa Da Pizza,1,0,3.8,Good,115,49,78,"Fast Food, Pizza",250.0,2,Yes,No
Paradise Premium,1,0,3.1,Good,119,1,27,"Biryani, Andhra, Hyderabadi, North Indian",700.0,2,Yes,No
Grazers,1,1,3.9,Good,291,32,19,"Cafe, Burger, Continental, Italian, Desserts",650.0,2,Yes,Yes
Shakes Theory,1,0,4.5,Excellent,155,32,14,"Beverages, Sandwich",300.0,2,Yes,No
@Italy,1,0,4.1,Excellent,305,49,27,Italian,700.0,2,Yes,No
Chilli Flakes,1,0,3.6,Good,46,1,78,"Fast Food, Italian, Beverages",500.0,2,Yes,No
Calcutta Cafe,1,0,3.5,Good,45,49,78,"Bengali, Chinese, Sandwich",350.0,2,Yes,No
Old Mumbai Ice Cream,1,0,3.9,Good,38,1,40,Ice Cream,150.0,2,Yes,No
Donne Biriyani House,1,0,3.9,Good,441,1,78,"South Indian, North Indian, Chinese, Biryani",400.0,2,Yes,No
By 2 Coffee,1,0,3.9,Good,25,4,78,South Indian,100.0,2,Yes,No
Kedia's Fun Food,1,0,4.3,Excellent,630,32,78,"North Indian, Street Food, Juices",200.0,2,Yes,No
Davangere Butter Dosa Hotel,1,0,3.8,Good,25,49,78,South Indian,150.0,2,Yes,No
Just Shawarma,1,0,3.9,Good,160,49,78,Arabian,300.0,2,Yes,No
Mini Punjabi Dhaba,1,0,4.2,Excellent,287,1,78,North Indian,350.0,2,Yes,No
Mulabagilu Dosa,1,0,3.6,Good,11,4,78,South Indian,100.0,2,Yes,No
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,1,0,4.1,Excellent,402,1,19,Cafe,500.0,2,Yes,No
Gokul Veg,1,0,3.8,Good,469,4,27,"North Indian, Chinese, Beverages",750.0,2,Yes,No
Olive - Era,1,0,3.3,Good,511,49,27,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550.0,2,Yes,No
Udupi Ruchi,1,0,3.9,Good,57,1,78,"South Indian, North Indian, Chinese, Street Food",200.0,2,Yes,No
Madhappa Hindu Military Hotel,1,0,3.4,Good,14,1,78,South Indian,300.0,2,Yes,No
Gama Gama,1,0,3.9,Good,264,1,78,South Indian,200.0,2,Yes,No
The Vintage Cafe,1,0,3.0,Good,62,1,19,"Cafe, French, North Indian",400.0,2,Yes,No
Pizza Hut,1,0,3.8,Good,693,1,27,"Pizza, Fast Food",750.0,2,Yes,No
Mangalore Pearl,1,0,3.8,Good,242,32,27,"Mangalorean, Seafood, Chinese, Biryani",650.0,2,Yes,No
Asha Sweets Centre,1,0,3.6,Good,27,4,40,Fast Food,250.0,2,Yes,No
Twiststick House,1,0,4.1,Excellent,163,4,78,"Continental, Fast Food, Street Food, Momos",500.0,2,Yes,No
Cool Corner,1,0,4.2,Excellent,191,4,78,"Street Food, Fast Food",250.0,2,Yes,No
Pizza Mane,1,0,3.5,Good,32,1,78,"Pizza, Sandwich, Burger, Fast Food",150.0,2,Yes,No
Dal Tadkaa,1,0,2.5,Bad,247,1,27,North Indian,500.0,2,Yes,No
Chutney Chang,1,1,4.1,Excellent,2339,32,27,"North Indian, Chinese, BBQ",1500.0,2,Yes,Yes
Mystique Palate,1,0,4.1,Excellent,337,32,78,"Chinese, Fast Food",300.0,2,Yes,No
Thamboola,1,0,3.9,Good,135,1,27,"North Indian, Chinese, Continental",800.0,2,Yes,No
Castle Rock,1,0,3.6,Good,172,84,27,"North Indian, Chinese",700.0,2,Yes,No
Vietnamese Kitchen,1,0,3.6,Good,105,1,27,Vietnamese,700.0,2,Yes,No
Smacznego,1,0,4.2,Excellent,504,1,19,"Cafe, Mexican, Italian, Momos, Beverages",550.0,2,Yes,No
C Corner,1,0,3.2,Good,36,49,78,"Fast Food, Street Food",200.0,2,Yes,No
Paratha Merchant,1,0,3.1,Good,39,49,78,North Indian,300.0,2,Yes,No
North Rasoe,1,0,3.1,Good,5,49,27,"North Indian, Chinese, Biryani, Kebab",500.0,2,Yes,No
Inchara Restaurant,1,0,3.0,Good,0,4,78,"North Indian, Chinese",300.0,2,Yes,No
Toscano,1,1,4.3,Excellent,1129,32,27,"Italian, Salad",1300.0,2,Yes,Yes
Lord Of The Kitchen,1,0,3.9,Good,56,49,78,"North Indian, Chinese",350.0,2,Yes,No
Stoned Monkey,1,0,4.3,Excellent,860,1,40,"Desserts, Ice Cream",500.0,2,Yes,No
Central Jail Restaurant,1,0,3.8,Good,412,32,27,"Andhra, Seafood, North Indian, Chinese",700.0,2,Yes,No
Bella,1,1,3.9,Good,142,32,27,"Mangalorean, Seafood, South Indian",1000.0,2,Yes,Yes
Vennela Andhra Meals,1,0,3.0,Good,23,32,78,Andhra,400.0,2,Yes,No
New Prashanth Hotel,1,0,3.6,Good,143,32,27,"South Indian, Biryani, Chinese, North Indian",750.0,2,Yes,No
The Grillo,1,1,2.8,Bad,80,32,27,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500.0,2,Yes,Yes
Re Malnad Nati Style Hotel,1,0,3.6,Good,16,29,27,South Indian,400.0,2,Yes,No
Karma Kaapi,1,0,4.4,Excellent,181,32,14,"Beverages, Tea",250.0,2,Yes,No
Tiwari's,1,0,3.8,Good,70,32,78,"North Indian, Street Food",200.0,2,Yes,No
Pizza Stop,1,0,3.8,Good,164,4,78,"Pizza, Italian",600.0,2,Yes,No
Biggies Burger 'n' More,1,0,3.6,Good,58,49,78,"Cafe, Burger, Beverages",650.0,2,Yes,No
Srinathji's Cafe,0,0,3.8,Good,148,4,29,"North Indian, Cafe, Chinese, Fast Food",550.0,2,No,No
Kollapuri's,0,0,3.9,Good,206,4,78,"South Indian, Mangalorean",450.0,2,No,No
Sugar Stars Co,0,0,5.0,Excellent,0,4,0,"Bakery, Desserts",300.0,2,No,No
Bombay Kulfis,0,0,3.7,Good,0,29,40,Ice Cream,200.0,2,No,No
Kadamba Classic,0,0,3.6,Good,16,57,78,South Indian,300.0,2,No,No
RS Shiv Sagar,0,0,3.7,Good,217,4,27,"North Indian, Chinese, South Indian, Fast Food, Juices",450.0,2,No,No
Kholi Mane,0,0,3.6,Good,46,4,78,"Andhra, South Indian, Biryani, North Indian",450.0,2,No,No
Harshi Super Sandwich,0,0,3.8,Good,148,4,78,"Fast Food, Street Food",150.0,2,No,No
Cake Yard,0,0,3.4,Good,30,4,40,Desserts,250.0,2,No,No
Rosewood International Hotel - Bar & Restaurant,0,0,3.6,Good,8,57,27,"North Indian, South Indian, Andhra, Chinese",800.0,2,No,No
Sri Udupi Veg,0,0,3.3,Good,4,32,78,South Indian,250.0,2,No,No
Cake Art,0,0,3.5,Good,15,4,6,Bakery,400.0,2,No,No
Aahar Cafe,0,0,1.0,Bad,0,4,78,South Indian,100.0,2,No,No
Akash Gowdru Biryani Center,0,0,3.7,Good,0,84,78,"North Indian, Chinese",300.0,2,No,No
New Sri Udupi Restaurant,0,0,3.7,Good,0,32,78,"North Indian, South Indian, Chinese, Beverages, Fast Food",200.0,2,No,No
Potato House,1,0,3.4,Good,9,84,78,Street Food,200.0,2,Yes,No
Hotel Biriyani Counter,0,0,3.0,Good,0,87,78,"North Indian, Chinese, Biryani",350.0,2,No,No
Matru Sagar,1,0,3.7,Good,31,57,78,"South Indian, North Indian",300.0,2,Yes,No
Ugadi,1,0,2.9,Bad,177,32,27,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700.0,2,Yes,No
Sri Krishna Sweets,1,0,3.7,Good,22,4,88,"Mithai, Desserts",250.0,2,Yes,No
In Time Cane Juice,1,0,3.5,Good,10,49,14,"Juices, Beverages",100.0,2,Yes,No
Subway,1,0,3.7,Good,136,1,78,"Salad, Fast Food",600.0,2,Yes,No
Daal Roti,1,0,2.9,Bad,35,49,78,"North Indian, Chinese",250.0,2,Yes,No
The Lassi Park,1,0,4.1,Excellent,185,32,78,"Juices, Desserts",200.0,2,Yes,No
Cafe Coffee Day,1,0,3.2,Good,17,32,19,"Cafe, Fast Food",900.0,2,Yes,No
A2B - Adyar Ananda Bhavan,1,0,3.8,Good,155,57,27,"South Indian, North Indian, Chinese, Street Food",400.0,2,Yes,No
Srikrishna Bhavan,1,0,3.8,Good,42,1,78,"South Indian, North Indian, Chinese",300.0,2,Yes,No
Timepass Dinner,1,0,3.8,Good,286,4,27,North Indian,600.0,2,Yes,No
Green Gardenia,1,0,3.8,Good,160,1,27,"North Indian, Chinese",700.0,2,Yes,No
J Spice,1,0,3.8,Good,59,1,27,"North Indian, Chinese",750.0,2,Yes,No
Karavali Family Restaurant,1,0,3.5,Good,90,32,27,"Seafood, Biryani, South Indian, North Indian, Chinese",500.0,2,Yes,No
Karavali Lunch Home,1,0,3.7,Good,51,49,78,"South Indian, Mangalorean",350.0,2,Yes,No
Hatti Kaapi,1,0,4.0,Excellent,89,32,78,"South Indian, Beverages",200.0,2,Yes,No
Kolkata Kathi Roll's,1,0,3.6,Good,18,1,78,"Fast Food, Rolls",250.0,2,Yes,No
Upahara Darshini,1,0,3.9,Good,40,4,27,"North Indian, Chinese, South Indian, Fast Food",600.0,2,Yes,No
